Time: 24.3897879124 seconds, RAM: 36.2890625 Mb.
Time: 24.4286820889 seconds, RAM: 36.57421875 Mb.
Time: 24.1010291576 seconds, RAM: 36.2421875 Mb.
Time: 24.1449038982 seconds, RAM: 36.40625 Mb.
Time: 24.2465081215 seconds, RAM: 36.046875 Mb.
Time: 24.426170826 seconds, RAM: 36.3125 Mb.
Time: 24.3598191738 seconds, RAM: 36.3984375 Mb.
Time: 24.056937933 seconds, RAM: 36.38671875 Mb.
Time: 23.9031560421 seconds, RAM: 36.4140625 Mb.
Time: 24.1585049629 seconds, RAM: 36.06640625 Mb.
Time: 23.8568210602 seconds, RAM: 36.47265625 Mb.
Time: 24.2102911472 seconds, RAM: 36.2265625 Mb.
Time: 24.1742181778 seconds, RAM: 36.3125 Mb.
Time: 24.0083620548 seconds, RAM: 36.34765625 Mb.
Time: 24.4455859661 seconds, RAM: 36.30859375 Mb.
Time: 24.2216939926 seconds, RAM: 36.15234375 Mb.
Time: 23.8653581142 seconds, RAM: 36.15234375 Mb.
Time: 24.3550798893 seconds, RAM: 36.37109375 Mb.
Time: 24.5684120655 seconds, RAM: 36.1484375 Mb.
Time: 24.0981469154 seconds, RAM: 36.28515625 Mb.
Time: 24.2710502148 seconds, RAM: 36.23046875 Mb.
Time: 23.6351540089 seconds, RAM: 36.2109375 Mb.
Time: 24.1933748722 seconds, RAM: 36.09375 Mb.
Time: 24.2994890213 seconds, RAM: 36.36328125 Mb.
Time: 23.9010689259 seconds, RAM: 36.3359375 Mb.
Time: 24.073898077 seconds, RAM: 36.35546875 Mb.
Time: 23.866904974 seconds, RAM: 36.37109375 Mb.
Time: 24.5762062073 seconds, RAM: 36.4453125 Mb.
Time: 24.531992197 seconds, RAM: 36.37109375 Mb.
Time: 23.8682551384 seconds, RAM: 35.83203125 Mb.
Time: 24.2744321823 seconds, RAM: 36.9140625 Mb.
Time: 24.1893501282 seconds, RAM: 35.8984375 Mb.
Time: 24.0243849754 seconds, RAM: 36.375 Mb.
Time: 23.9915020466 seconds, RAM: 36.6171875 Mb.
Time: 23.7897601128 seconds, RAM: 36.17578125 Mb.
Time: 23.7990889549 seconds, RAM: 36.16015625 Mb.
Time: 23.6690449715 seconds, RAM: 36.29296875 Mb.
Time: 24.2071819305 seconds, RAM: 36.10546875 Mb.
Time: 24.3246891499 seconds, RAM: 36.40625 Mb.
Time: 23.6909279823 seconds, RAM: 36.2890625 Mb.
Time: 23.8128061295 seconds, RAM: 36.28125 Mb.
Time: 24.1964051723 seconds, RAM: 36.4609375 Mb.
Time: 24.5051388741 seconds, RAM: 36.12890625 Mb.
Time: 24.2603228092 seconds, RAM: 36.44921875 Mb.
Time: 23.5567369461 seconds, RAM: 36.46875 Mb.
Time: 23.9227437973 seconds, RAM: 36.36328125 Mb.
Time: 24.2373380661 seconds, RAM: 36.21484375 Mb.
Time: 23.8476009369 seconds, RAM: 36.0546875 Mb.
Time: 23.9191570282 seconds, RAM: 36.265625 Mb.
Time: 23.182831049 seconds, RAM: 36.4765625 Mb.
Time: 23.9731240273 seconds, RAM: 35.9140625 Mb.
Time: 24.3788180351 seconds, RAM: 36.140625 Mb.
Time: 24.4096970558 seconds, RAM: 36.24609375 Mb.
Time: 24.0569519997 seconds, RAM: 36.33984375 Mb.
Time: 23.8880541325 seconds, RAM: 36.30078125 Mb.
Time: 24.1940739155 seconds, RAM: 36.21875 Mb.
Time: 23.4949820042 seconds, RAM: 36.1171875 Mb.
Time: 24.1466610432 seconds, RAM: 36.35546875 Mb.
Time: 23.8877739906 seconds, RAM: 36.16015625 Mb.
Time: 24.158591032 seconds, RAM: 36.28125 Mb.
